単語帳OK,着画含めてOK,最終ステータス,販売ステータス,元品番,カラーCD,品番,PB,ブランド名（カナ）,カラー名（カナ）,装用期間（英語）,上代（税込）,入数,最大度数,DIA（半角英数）,G・DIA（半角英数）,BC（半角英数）,含水率,レンズ機能,,メイン背景色,バンドル画像,サムネ画像,レンズ画像,装用画像（黒目）,装用画像（茶目）,サムネマスター,レンズマスター,度なし（±0.00）,バンドル,コメント（列幅からはみ出ないように）幅290,"発注数
-10.00/-9.00/-8.00/-6.00は12枚、
それ以外は8枚","ランキングコーナーに入れるもの
サムネのみ12cm×12cmで印刷 / 商品カード＋6枚",_row_number,reason,url
TRUE,TRUE,OK,,RE0010,musbr,4589,他社,レヴィア,ムースブラウン,1month,"1,320",1,-10.00,14.1,13.1,8.6,38.5,,,#a08061,,https://drive.google.com/drive/folders/165bakehLYsTHaB06VXjEpEbp07qEScpT?usp=drive_link,https://drive.google.com/file/d/1Tncrbkdp7cECdebdFxg9Ulxq52yionMa/view?usp=drivesdk,https://drive.google.com/drive/folders/1iPgzQqr8VPWKS5YoKMAbHA3_TBoGi458,https://drive.google.com/drive/folders/1n56QcObvczQEO03kBimbqviPQhP4atP1,https://static.growthpalette.com/front/assets/hl2/img/search-contact-lens/image/data/item/PC/thumb/RE0010-MUSBR-1.jpg,https://static.growthpalette.com/front/assets/hl2/img/search-contact-lens/image/data/item/PC/thumb/RE0010-MUSBR-3.jpg,度なしのみ,,"これ本当にバレたことない！
激コワ先生も余裕すぎる",18,なし,431,samune_drive_needs_permission_or_bad_url,https://drive.google.com/drive/folders/165bakehLYsTHaB06VXjEpEbp07qEScpT?usp=drive_link
TRUE,TRUE,OK,,RE0010,br,4590,他社,レヴィア,ブラウン,1month,"1,320",1,-10.00,14.1,13.2,8.6,38.5,,,#a08061,,https://drive.google.com/drive/folders/1k6QZmY4vMeNtOYse4YEVxJf-qH63xMwH?usp=drive_link,https://drive.google.com/file/d/1OYo3FiAzJKgsONDK8aQXilgBWwgs0CGj/view?usp=drivesdk,https://drive.google.com/drive/folders/1Chn1JKNbxlZ5S8Z2XU7EhXtRyHd19fyr,https://drive.google.com/drive/folders/18ZxzTSOT4FVMvKym8P3cP0mBhc65PRJF,https://static.growthpalette.com/front/assets/hl2/img/search-contact-lens/image/data/item/PC/thumb/RE0010-BR-1.jpg,https://static.growthpalette.com/front/assets/hl2/img/search-contact-lens/image/data/item/PC/thumb/RE0010-BR-3.jpg,度なしのみ,,"シンプルで間違いのないブラウン！
学校や会社にもおすすめ！",18,なし,432,samune_drive_needs_permission_or_bad_url,https://drive.google.com/drive/folders/1k6QZmY4vMeNtOYse4YEVxJf-qH63xMwH?usp=drive_link
TRUE,TRUE,OK,,RE0010,bk,4591,他社,レヴィア,ブラック,1month,"1,320",1,-10.00,14.1,13.2,8.6,38.5,,,#a08061,,https://drive.google.com/drive/folders/1LO1vzjbtu5IUtT891NHlHnn_me-Atsjr?usp=drive_link,https://drive.google.com/file/d/1r_PHoeWRdUDlygVnzBbl_ix-mtQjoBog/view?usp=drivesdk,https://drive.google.com/drive/folders/1fnNvhnHNKM4K2cUwSoDmFkOxbY_j2JNU,https://drive.google.com/drive/folders/1JSSfAfw03MmVoo2htw_zAmXO9UWCYswD,https://static.growthpalette.com/front/assets/hl2/img/search-contact-lens/image/data/item/PC/thumb/RE0010-BK-1.jpg,https://static.growthpalette.com/front/assets/hl2/img/search-contact-lens/image/data/item/PC/thumb/RE0010-BK-3.jpg,度なしのみ,,"学校にもバレにくい黒コンで埋まりにくいから
ナチュラルメイクでもOK！",18,なし,433,samune_drive_needs_permission_or_bad_url,https://drive.google.com/drive/folders/1LO1vzjbtu5IUtT891NHlHnn_me-Atsjr?usp=drive_link
TRUE,TRUE,OK,,RE0008,msis,4592,他社,レヴィア,ミストアイリス,1month,"1,760",1,-10.00,14.1,12.9,8.6,38.5,,,#a08061,,https://drive.google.com/drive/folders/18kPSTdaXqmXaDgLWib-AIWs2xSGqavFT?usp=drive_link,https://drive.google.com/file/d/1fkUxVQG_vH6mjN-4jwu1F7lVMKywKZfZ/view?usp=drivesdk,https://drive.google.com/drive/folders/15NEhsG5EJ9FWmlnZ_sDYWwrzkARNtvWI,https://drive.google.com/drive/folders/1cJnbvpvgdr2N0NEbV_P_xCH9gdhcxVqt,https://static.growthpalette.com/front/assets/hl2/img/search-contact-lens/image/data/item/SP/thumb/RE0008-MSIS-1.jpg,https://static.growthpalette.com/front/assets/hl2/img/search-contact-lens/image/data/item/SP/thumb/RE0008-MSIS-3.jpg,度なしのみ,,"ミステリアスな雰囲気の
落ち着いたブルーグレーカラコン💙",18,なし,434,samune_drive_needs_permission_or_bad_url,https://drive.google.com/drive/folders/18kPSTdaXqmXaDgLWib-AIWs2xSGqavFT?usp=drive_link
TRUE,TRUE,OK,,RE0008,mltb,4593,他社,レヴィア,メルティベア,1month,"1,760",1,-10.00,14.1,13.0,8.6,38.5,,,#a08061,,https://drive.google.com/drive/folders/1WKT77iZYE9f7QZAom_ZTcQfWBY09Coir?usp=drive_link,https://drive.google.com/file/d/1J3-Mi2pjNfl3aJoCkjfexEyioZ-uU0HH/view?usp=drivesdk,https://drive.google.com/drive/folders/1EW2M6_Sw2mb6mObcwmsP3xadhUsu1CmU,https://drive.google.com/drive/folders/14EE13tw2Zk3rL3_2x83We1ViuVGrwztU,https://static.growthpalette.com/front/assets/hl2/img/search-contact-lens/image/data/item/PC/thumb/RE0008-MLTB-1.jpg,https://static.growthpalette.com/front/assets/hl2/img/search-contact-lens/image/data/item/PC/thumb/RE0008-MLTB-3.jpg,度なしのみ,,"透明感えぐいうるうるの目になる！
ほんのりトーンアップして天才..♡",18,なし,435,samune_drive_needs_permission_or_bad_url,https://drive.google.com/drive/folders/1WKT77iZYE9f7QZAom_ZTcQfWBY09Coir?usp=drive_link
TRUE,TRUE,OK,,RE0008,lstg,4594,他社,レヴィア,ラスタージェム,1month,"1,760",1,-10.00,14.1,13.0,8.6,38.5,,,#a08061,,https://drive.google.com/drive/folders/1NZjvbkixoLOwWb_VBsTIe8Y2C6Ppc69K?usp=drive_link,https://drive.google.com/file/d/1HjDKpU7Dnot2oVaQHdWh_EaSpj9HRefM/view?usp=drivesdk,https://drive.google.com/drive/folders/1qr2h2QhQyT9ECs7sAuGxd_QW-ywoIgdn,https://drive.google.com/drive/folders/1VYl1aC5ePdXwzbFaDM3_-_EgdC6kzOKb,https://static.growthpalette.com/front/assets/hl2/img/search-contact-lens/image/data/item/PC/thumb/RE0008-LSTG-1.jpg,https://static.growthpalette.com/front/assets/hl2/img/search-contact-lens/image/data/item/PC/thumb/RE0008-LSTG-3.jpg,度なしのみ,,"わたし産まれた時から
色素が薄いんです(´・ω・`)って言い張れます",18,なし,436,samune_drive_needs_permission_or_bad_url,https://drive.google.com/drive/folders/1NZjvbkixoLOwWb_VBsTIe8Y2C6Ppc69K?usp=drive_link
TRUE,TRUE,OK,,RE0008,stm,4595,他社,レヴィア,ステイミー,1month,"1,760",1,0.00,14.1,13.2,8.6,38.5,,,#a08061,,https://drive.google.com/drive/folders/1smtDvH-YBeHU7OBlG8DOBa38rfjr0l3P?usp=drive_link,https://drive.google.com/file/d/17hsAsUtOMSwzak5I_okZUmy7BwFzS2Cp/view?usp=drivesdk,https://drive.google.com/drive/folders/1e91LsBnpwATMOVQk4rECgeVaf7eRfn7N,https://drive.google.com/drive/folders/10lxER2ud9adpJuVJddOUlKfGyOlp5zUb,https://static.growthpalette.com/front/assets/hl2/img/search-contact-lens/image/data/item/PC/thumb/RE0008-STM-1.jpg,https://static.growthpalette.com/front/assets/hl2/img/search-contact-lens/image/data/item/PC/thumb/RE0008-STM-3.jpg,度なしのみ,,"どこかアンニュイな雰囲気になれる
オリーブ系レンズ🌿",18,なし,437,samune_drive_needs_permission_or_bad_url,https://drive.google.com/drive/folders/1smtDvH-YBeHU7OBlG8DOBa38rfjr0l3P?usp=drive_link
TRUE,TRUE,OK,,RE0008,hgm,4596,他社,レヴィア,ハグミー,1month,"1,760",1,0.00,14.1,13.2,8.6,38.5,,,#a08061,,https://drive.google.com/drive/folders/1ZUYeLmw1fCr01LGHuCeXRpNpM6O3P6dX?usp=drive_link,https://drive.google.com/file/d/1klVDFym313iBa6vVgY8lmmv7sSIV65fg/view?usp=drivesdk,https://drive.google.com/drive/folders/1kTzlWpUsIcTltxW63MmD_AGeH3ZGBSrI,https://drive.google.com/drive/folders/1ORNRhxpohSQjeIuACMtEWOFZMbq2Wgxm,https://static.growthpalette.com/front/assets/hl2/img/search-contact-lens/image/data/item/PC/thumb/RE0008-HGM-1.jpg,https://static.growthpalette.com/front/assets/hl2/img/search-contact-lens/image/data/item/PC/thumb/RE0008-HGM-3.jpg,度なしのみ,,"あったかい色味のピンクで
優しい目元になれちゃいます♡",18,なし,438,samune_drive_needs_permission_or_bad_url,https://drive.google.com/drive/folders/1ZUYeLmw1fCr01LGHuCeXRpNpM6O3P6dX?usp=drive_link
TRUE,TRUE,OK,,RE0008,biac,4597,他社,レヴィア,ビアンカ,1month,"1,760",1,-10.00,14.1,13.2,8.6,38.5,,,#a08061,,https://drive.google.com/drive/folders/17cxM2ZaDq91tPlE6mfR2ewfSHZsot8sI?usp=drive_link,https://drive.google.com/file/d/14SmYy67jFo5x83vEtOP4mlEud3qsLR_D/view?usp=drivesdk,https://drive.google.com/drive/folders/1zKs8d7cAMoR07m_IFKEKFnKjg0nlVyTG,https://drive.google.com/drive/folders/11WiAPMMTRjBX0jC6HlG_mtb-MGborCOe,https://static.growthpalette.com/front/assets/hl2/img/search-contact-lens/image/data/item/PC/thumb/RE0008-BIAC-1.jpg,https://static.growthpalette.com/front/assets/hl2/img/search-contact-lens/image/data/item/PC/thumb/RE0008-BIAC-3.jpg,度なしのみ,,自然に茶目化したい方におすすめ,18,なし,439,samune_drive_needs_permission_or_bad_url,https://drive.google.com/drive/folders/17cxM2ZaDq91tPlE6mfR2ewfSHZsot8sI?usp=drive_link
TRUE,TRUE,OK,,RE0008,haly,4598,他社,レヴィア,ヘイリー,1month,"1,760",1,-10.00,14.1,13.2,8.6,38.5,,,#a08061,,https://drive.google.com/drive/folders/1lPQNQueXPH8lS8PSu9ehXJQXXdO5T1sz?usp=drive_link,https://drive.google.com/file/d/10PhavzQLEyoPvSR8900yjhsSfuB7RML5/view?usp=drivesdk,https://drive.google.com/drive/folders/1SLDAXNCqnagNmNIwzmFPuZpeHhPLZb_C,https://drive.google.com/drive/folders/159j4mHDLQXkYFSl9EiPoOUOCvRN3L6JR,https://static.growthpalette.com/front/assets/hl2/img/search-contact-lens/image/data/item/PC/thumb/RE0008-HALY-1.jpg,https://static.growthpalette.com/front/assets/hl2/img/search-contact-lens/image/data/item/PC/thumb/RE0008-HALY-3.jpg,度なしのみ,,"裸眼っぽいまま色素薄くなりたい人集合～！
これおすすめです✨️✨️",18,なし,440,samune_drive_needs_permission_or_bad_url,https://drive.google.com/drive/folders/1lPQNQueXPH8lS8PSu9ehXJQXXdO5T1sz?usp=drive_link
